distribution_key,line_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,psnr_db_original,ssim_original,pixel_mae_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original
k0,cfg1,0.00125,,,,19.348073120953188,0.9331868138864332,0.06878571584820747,right_only,,,
k0,cfg1,0.0025,,,,21.14884716509926,0.9564400100612729,0.05424726940691471,right_only,,,
k0,cfg1,0.005,,,,22.60590667168568,0.9691269872833765,0.043743448331952095,right_only,,,
k0,cfg1,0.01,,,,23.816951806394066,0.9767581167154022,0.03655489347875118,right_only,,,
k0,cfg3,0.00125,,,,19.15228400896339,0.9289077089790809,0.07044067233800888,right_only,,,
k0,cfg3,0.0025,,,,18.847958038674882,0.9241615974444739,0.07587178610265255,right_only,,,
k0,cfg3,0.005,,,,21.705683156993416,0.9616424846217513,0.04896672070026398,right_only,,,
k0,cfg3,0.01,,,,22.232483259247836,0.9664038915426358,0.04433572664856911,right_only,,,
k0,cfg5,0.00125,,,,17.799691233071492,0.9005168980601076,0.0833686999976635,right_only,,,
k0,cfg5,0.0025,,,,19.074897269811004,0.9279619358148048,0.06992312893271446,right_only,,,
k0,cfg5,0.005,,,,19.771980638105532,0.9387272958529536,0.06360926665365696,right_only,,,
k0,cfg5,0.01,,,,20.793408539561256,0.9497633047155021,0.055721042677760124,right_only,,,
k0,cfg7p5,0.00125,,,,18.306220538735506,0.9152064640469402,0.07838017642498016,right_only,,,
k0,cfg7p5,0.0025,,,,18.90282828547343,0.9264237543832075,0.07114454656839371,right_only,,,
k0,cfg7p5,0.005,,,,18.549859038135224,0.9176022901302693,0.07925773784518242,right_only,,,
k0,cfg7p5,0.01,,,,19.575799917700067,0.9381067705327224,0.06441246792674064,right_only,,,
k0,unconditioned,0.00125,16.84222879938077,0.881480871197706,0.09923926740884781,19.352297273647665,0.93335542503479,0.06905394047498703,both,-2.5100684742668946,-0.05187455383708395,0.03018532693386078
k0,unconditioned,0.0025,17.644936714587587,0.9023707395507351,0.08870976604521275,21.186745468344636,0.9566874400767673,0.054020927846431734,both,-3.5418087537570493,-0.05431670052603221,0.03468883819878101
k0,unconditioned,0.005,,,,22.609269539048917,0.9691150011060019,0.04395679086446762,right_only,,,
k0,unconditioned,0.01,18.058658176288787,0.9188580287456972,0.08988543599843979,23.629703287420213,0.9756468917992202,0.03670636564493179,both,-5.571045111131426,-0.05678886305352293,0.053179070353507996
k1_daytime_beach,cfg1,0.00125,,,,19.849355385068705,0.9407787428167624,0.06333347037434578,right_only,,,
k1_daytime_beach,cfg1,0.0025,,,,21.04590357769696,0.9553018327107058,0.05470435693860054,right_only,,,
k1_daytime_beach,cfg1,0.005,,,,22.44950879887459,0.9679801839442839,0.04457460902631283,right_only,,,
k1_daytime_beach,cfg1,0.01,,,,24.00205894572538,0.9777375177284222,0.035318661481142044,right_only,,,
k1_daytime_beach,cfg3,0.00125,,,,19.133761818794746,0.9282459536252311,0.07060708478093147,right_only,,,
k1_daytime_beach,cfg3,0.0025,,,,19.365469284455173,0.9323476585628647,0.06761333346366882,right_only,,,
k1_daytime_beach,cfg3,0.005,,,,21.434266273961143,0.9590065624885461,0.04993417300283909,right_only,,,
k1_daytime_beach,cfg3,0.01,,,,22.15581356726514,0.9648872792292551,0.04451311379671097,right_only,,,
k1_daytime_beach,cfg5,0.00125,,,,19.052121985827924,0.928383575244631,0.06989723816514015,right_only,,,
k1_daytime_beach,cfg5,0.0025,,,,19.555569860698906,0.9365483902066458,0.06503088399767876,right_only,,,
k1_daytime_beach,cfg5,0.005,,,,20.31985753786933,0.9473536538922861,0.05710672773420811,right_only,,,
k1_daytime_beach,cfg5,0.01,,,,21.599135405141922,0.96011228646197,0.04932599700987339,right_only,,,
k1_daytime_beach,cfg7p5,0.00125,,,,18.817612961693555,0.9245546554508953,0.07269863933324813,right_only,,,
k1_daytime_beach,cfg7p5,0.0025,,,,19.057963989329032,0.9300486286286336,0.07106717079877853,right_only,,,
k1_daytime_beach,cfg7p5,0.005,,,,19.175604159814434,0.9337023276557858,0.06911896616220474,right_only,,,
k1_daytime_beach,cfg7p5,0.01,15.004472985469622,0.8619894336084193,0.13277237117290497,20.894826442179443,0.9529673192034117,0.05418021753430367,both,-5.890353456709821,-0.09097788559499242,0.07859215363860131
k1_daytime_beach,unconditioned,0.00125,17.251105754122243,0.8917898472366126,0.09275243431329727,19.682444977821525,0.9383364466052916,0.06547915935516357,both,-2.4313392236992826,-0.046546599368679,0.027273274958133698
k1_daytime_beach,unconditioned,0.0025,,,,21.041068255964657,0.9551404165701701,0.05482790917158127,right_only,,,
k1_daytime_beach,unconditioned,0.005,,,,22.37751265476981,0.9672324002002334,0.04481903091073036,right_only,,,
k1_daytime_beach,unconditioned,0.01,17.65685524843692,0.9105743932124712,0.0955459013581276,23.639654956440154,0.9757107278348771,0.036529744416475295,both,-5.982799708003235,-0.06513633462240587,0.059016156941652305
k2_sunset_beach,cfg1,0.00125,,,,19.600095186445415,0.9375288596475124,0.06537770852446556,right_only,,,
k2_sunset_beach,cfg1,0.0025,,,,21.21739789232364,0.9569931827056282,0.05202798917889595,right_only,,,
k2_sunset_beach,cfg1,0.005,,,,22.616356180432454,0.9693030635970101,0.04334021918475628,right_only,,,
k2_sunset_beach,cfg1,0.01,,,,23.881167159126804,0.9771017234366569,0.0356829222291708,right_only,,,
k2_sunset_beach,cfg3,0.00125,,,,19.10578014734697,0.9300516686304501,0.06962073221802711,right_only,,,
k2_sunset_beach,cfg3,0.0025,,,,18.944505290429753,0.9253702871786583,0.07429497875273228,right_only,,,
k2_sunset_beach,cfg3,0.005,,,,21.781262431511564,0.9619598674476,0.04850171320140362,right_only,,,
k2_sunset_beach,cfg3,0.01,,,,22.55244523740305,0.968348590108128,0.04350876994431019,right_only,,,
k2_sunset_beach,cfg5,0.00125,,,,19.353265655029453,0.9336620528247802,0.06624378263950348,right_only,,,
k2_sunset_beach,cfg5,0.0025,,,,19.117411536175346,0.9320070379523537,0.06957947835326195,right_only,,,
k2_sunset_beach,cfg5,0.005,,,,19.992427402502457,0.9428524327545547,0.062065547332167625,right_only,,,
k2_sunset_beach,cfg5,0.01,,,,20.934231265089288,0.9551715656675086,0.05475566349923611,right_only,,,
k2_sunset_beach,cfg7p5,0.00125,,,,18.38942262250618,0.9180922828499849,0.07622894048690795,right_only,,,
k2_sunset_beach,cfg7p5,0.0025,,,,18.68089295505183,0.9236834979191526,0.07431590110063553,right_only,,,
k2_sunset_beach,cfg7p5,0.005,,,,19.5558974893978,0.9367811581882555,0.06581983864307403,right_only,,,
k2_sunset_beach,cfg7p5,0.01,,,,20.60959723441487,0.9500636233416117,0.05547969415783882,right_only,,,
k2_sunset_beach,unconditioned,0.00125,16.887355706982426,0.882059386710274,0.09786512143909931,19.655825848533986,0.9381444997613396,0.06543315798044205,both,-2.7684701415515605,-0.05608511305106567,0.03243196345865726
k2_sunset_beach,unconditioned,0.0025,,,,21.121413735254777,0.9561294223709865,0.053839247673749924,right_only,,,
k2_sunset_beach,unconditioned,0.005,,,,22.522217214260415,0.9684521998678376,0.043956977874040605,right_only,,,
k2_sunset_beach,unconditioned,0.01,17.796494125233295,0.913541280006986,0.0938033014535904,23.615540035836155,0.9755881037896279,0.03660133257508278,both,-5.81904591060286,-0.062046823782641924,0.05720196887850761
k4_cat,cfg1,0.00125,,,,19.905576405266466,0.9414929867198213,0.06279805116355419,right_only,,,
k4_cat,cfg1,0.0025,,,,21.17484809860062,0.9565423778103549,0.053151657804846764,right_only,,,
k4_cat,cfg1,0.005,,,,22.646667219190007,0.96945311990964,0.04282573610544205,right_only,,,
k4_cat,cfg1,0.01,,,,23.998461341254185,0.977712310277521,0.035195887088775635,right_only,,,
k4_cat,cfg3,0.00125,,,,19.516660044588246,0.9356872639385015,0.06498254090547562,right_only,,,
k4_cat,cfg3,0.0025,,,,19.93695976682882,0.9401240823400987,0.06209627352654934,right_only,,,
k4_cat,cfg3,0.005,,,,21.471996665504868,0.9598259777661635,0.051124557852745056,right_only,,,
k4_cat,cfg3,0.01,,,,22.9576212619147,0.9712306136835336,0.04071086272597313,right_only,,,
k4_cat,cfg5,0.00125,,,,19.179961545471066,0.9311452152587683,0.06854110211133957,right_only,,,
k4_cat,cfg5,0.0025,,,,19.761619806740647,0.9398251866142885,0.06181877851486206,right_only,,,
k4_cat,cfg5,0.005,,,,20.1435912715067,0.944658135457648,0.05875697545707226,right_only,,,
k4_cat,cfg5,0.01,,,,21.2511536738517,0.9561964652512184,0.051434965804219246,right_only,,,
k4_cat,cfg7p5,0.00125,,,,17.41500020222515,0.8799684372550548,0.09616574496030808,right_only,,,
k4_cat,cfg7p5,0.0025,,,,18.623074287488617,0.9118175286522415,0.07784376367926597,right_only,,,
k4_cat,cfg7p5,0.005,,,,19.045440694921503,0.9304790519556084,0.0687486857175827,right_only,,,
k4_cat,cfg7p5,0.01,18.425566827723173,0.9318997489367864,0.0894659236073494,20.66539585333899,0.9507467842517505,0.05565987825393677,both,-2.2398290256158155,-0.018847035314964122,0.033806045353412625
k4_cat,unconditioned,0.00125,17.32782465666388,0.8935511880146351,0.0938052475452423,19.691653681734373,0.9385037483722887,0.06491481512784958,both,-2.363829025070494,-0.044952560357653604,0.028890432417392725
k4_cat,unconditioned,0.0025,17.913210383327414,0.907682631096343,0.08553353250026703,20.86105111317019,0.9529704767520037,0.05570343062281609,both,-2.9478407298427776,-0.0452878456556608,0.029830101877450943
k4_cat,unconditioned,0.005,,,,22.577984762143057,0.968867103093964,0.04338005632162094,right_only,,,
k4_cat,unconditioned,0.01,17.864021876567833,0.9151797275696314,0.09244135469198227,23.678546571945763,0.9759300937465403,0.03622142523527146,both,-5.81452469537793,-0.060750366176908877,0.05621992945671081
