distribution_key,line_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,psnr_db_original,ssim_original,pixel_mae_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original
k0,cfg1,0.00125,,,,23.110899483375444,0.9533229819581903,0.04478859901428223,right_only,,,
k0,cfg1,0.0025,,,,25.37861463788355,0.9726042325134571,0.03436179831624031,right_only,,,
k0,cfg1,0.005,,,,27.150591701884974,0.9820311017210358,0.027118869125843048,right_only,,,
k0,cfg1,0.01,,,,28.358540559198048,0.9864701512212357,0.023519220761954784,right_only,,,
k0,cfg3,0.00125,,,,23.24972942232185,0.9548067280741191,0.043045833706855774,right_only,,,
k0,cfg3,0.0025,,,,25.000695059269077,0.969912742364947,0.034082163125276566,right_only,,,
k0,cfg3,0.005,,,,26.518472484190028,0.9792528657400926,0.028484897688031197,right_only,,,
k0,cfg3,0.01,,,,28.23488566208993,0.9860636885346874,0.023492065258324146,right_only,,,
k0,cfg5,0.00125,,,,21.11927358201303,0.9197520725110275,0.0535808801651001,right_only,,,
k0,cfg5,0.0025,,,,23.130816589454483,0.9513975839901168,0.042536696419119835,right_only,,,
k0,cfg5,0.005,,,,22.802538232497405,0.9485633319218969,0.046267079189419746,right_only,,,
k0,cfg5,0.01,,,,26.08047218893901,0.9770203871511307,0.02967521734535694,right_only,,,
k0,cfg7p5,0.00125,,,,20.344718004503427,0.9014843855084426,0.06294664219021798,right_only,,,
k0,cfg7p5,0.0025,,,,22.375184988534897,0.941298942105246,0.046894793212413785,right_only,,,
k0,cfg7p5,0.005,,,,23.374242023301235,0.9552218003498039,0.042945637553930285,right_only,,,
k0,cfg7p5,0.01,,,,22.83801600397242,0.9510062213523071,0.04501881897449493,right_only,,,
k0,unconditioned,0.00125,19.32761744032353,0.8844530590983927,0.07649832405149937,22.64707724779756,0.944569857265704,0.049268671125173566,both,-3.3194598074740327,-0.0601167981673113,0.0272296529263258
k0,unconditioned,0.0025,,,,25.21164414785877,0.9716687205899518,0.03525557816028595,right_only,,,
k0,unconditioned,0.005,,,,26.83895839878477,0.9807179335477045,0.02858792096376419,right_only,,,
k0,unconditioned,0.01,17.582270215269205,0.8891733107874091,0.10792956997950871,28.28265846218386,0.986251831935258,0.02379259802401066,both,-10.700388246914656,-0.09707852114784887,0.08413697195549805
k1_daytime_beach,cfg1,0.00125,,,,22.947858357550448,0.9507979311952848,0.04685885086655617,right_only,,,
