prior_alias,role,trial,computer,seed,latent_seed_start,latent_seed_end,reference_exists,artifact_exists,trace_exists,trace_complete,compatible,recorded_points,expected_points,status,detail,artifact_path,trace_path
k0,k0,1,class107,32345,32345,52344,True,False,True,False,False,29,1000,incomplete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k0/trial_01/Ktilde_SD15__fft__k0_512x512_S10000_ns20__trial01_seed32345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k0/trial_01.convergence.npz
k0,k0,2,class108,52345,52345,72344,True,False,True,False,False,27,1000,incomplete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k0/trial_02/Ktilde_SD15__fft__k0_512x512_S10000_ns20__trial02_seed52345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k0/trial_02.convergence.npz
k0,k0,3,class109,72345,72345,92344,True,False,True,False,False,7,1000,incomplete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k0/trial_03/Ktilde_SD15__fft__k0_512x512_S10000_ns20__trial03_seed72345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k0/trial_03.convergence.npz
k0,k0,4,class110,92345,92345,112344,True,False,True,False,False,497,1000,incomplete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k0/trial_04/Ktilde_SD15__fft__k0_512x512_S10000_ns20__trial04_seed92345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k0/trial_04.convergence.npz
k0,k0,5,class111,112345,112345,132344,True,True,True,True,True,1000,1000,complete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k0/trial_05/Ktilde_SD15__fft__k0_512x512_S10000_ns20__trial05_seed112345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k0/trial_05.convergence.npz
k1,k1_daytime_beach,1,class107,32345,32345,52344,True,False,True,False,False,29,1000,incomplete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k1_daytime_beach/trial_01/Ktilde_SD15__fft__k1daytimebeach_512x512_S10000_ns20__trial01_seed32345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k1_daytime_beach/trial_01.convergence.npz
k1,k1_daytime_beach,2,class108,52345,52345,72344,True,False,True,False,False,27,1000,incomplete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k1_daytime_beach/trial_02/Ktilde_SD15__fft__k1daytimebeach_512x512_S10000_ns20__trial02_seed52345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k1_daytime_beach/trial_02.convergence.npz
k1,k1_daytime_beach,3,class109,72345,72345,92344,True,False,True,False,False,512,1000,incomplete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k1_daytime_beach/trial_03/Ktilde_SD15__fft__k1daytimebeach_512x512_S10000_ns20__trial03_seed72345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k1_daytime_beach/trial_03.convergence.npz
k1,k1_daytime_beach,4,class110,92345,92345,112344,True,False,True,False,False,7,1000,incomplete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k1_daytime_beach/trial_04/Ktilde_SD15__fft__k1daytimebeach_512x512_S10000_ns20__trial04_seed92345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k1_daytime_beach/trial_04.convergence.npz
k1,k1_daytime_beach,5,class111,112345,112345,132344,True,True,True,True,True,1000,1000,complete,,/home/ard22l/HITM/refactor/ActiveConditionalGCS/ktilde/weighted/convergence_trials/k1_daytime_beach/trial_05/Ktilde_SD15__fft__k1daytimebeach_512x512_S10000_ns20__trial05_seed112345.npz,/home/ard22l/HITM/refactor/ActiveConditionalGCS/results/weighted/ktilde_convergence/traces/k1_daytime_beach/trial_05.convergence.npz
