sampling_method,sampling_condition,reconstruction_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,grain_weighted,runtime_sec_weighted,psnr_db_original,ssim_original,pixel_mae_original,grain_original,runtime_sec_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original,grain_weighted_minus_original,runtime_sec_weighted_minus_original
cs,k0,cat,0.00125,,,,,,18.047001606052643,0.9099345333837092,0.07973202615976334,0.0013450714759528637,2834.8740000724792,right_only,,,,,
cs,k0,cat,0.0025,,,,,,18.12239736979286,0.9100220008256548,0.08198183625936509,0.001509121316485107,3782.1357203006746,right_only,,,,,
cs,k0,cat,0.005,,,,,,18.645137109020517,0.9231296175934572,0.07377975955605506,0.00143420803360641,3496.699079275131,right_only,,,,,
cs,k0,cat,0.01,,,,,,19.621708457666045,0.9373946218782967,0.06262734606862068,0.0014994286466389894,1978.7837522506713,right_only,,,,,
cs,k0,daytime_beach,0.00125,17.47218132904613,0.898142866264461,0.09082338213920593,0.005025452701374888,13069.331484556198,18.572780203644598,0.92122577009407,0.07555797547101975,0.0011759215267375112,4365.192469453812,both,-1.100598874598468,-0.02308290382960898,0.015265406668186182,0.0038495311746373773,8704.139015102386
cs,k0,daytime_beach,0.0025,,,,,,19.361227296710524,0.9340791680044063,0.06742250695824623,0.0012592841405421496,5737.22381644249,right_only,,,,,
cs,k0,daytime_beach,0.005,,,,,,19.55857747815465,0.9365662650785558,0.06538176462054253,0.0012014792766422034,3596.670055246353,right_only,,,,,
cs,k0,daytime_beach,0.01,,,,,,19.427285076890435,0.9340784459658771,0.06684650257229804,0.0015782262897118926,4140.14108505249,right_only,,,,,
cs,k0,sunset_beach,0.00125,,,,,,18.306220538735506,0.9152064640469402,0.07838017642498016,0.001221373723819852,4269.069130706787,right_only,,,,,
cs,k0,sunset_beach,0.0025,,,,,,18.90282828547343,0.9264237543832075,0.07114454656839371,0.0012254943838343024,5406.911092758179,right_only,,,,,
cs,k0,sunset_beach,0.005,,,,,,18.549859038135224,0.9176022901302693,0.07925773784518242,0.0013209510594606399,4830.129044055939,right_only,,,,,
cs,k0,sunset_beach,0.01,,,,,,19.575799917700067,0.9381067705327224,0.06441246792674064,0.001685067149810493,4127.705217552185,right_only,,,,,
cs,k0,unprompted,0.00125,16.84222879938077,0.881480871197706,0.09923926740884781,0.009151418320834636,14359.173806905746,19.352297273647665,0.93335542503479,0.06905394047498703,0.0028581504244357347,8794.39743385315,both,-2.5100684742668946,-0.05187455383708395,0.03018532693386078,0.006293267896398901,5564.776373052597
cs,k0,unprompted,0.0025,17.622830282519754,0.9019604438739798,0.08873534798622132,0.011651997454464436,14280.79660487175,21.186745468344636,0.9566874400767673,0.054020927846431734,0.0036194603424519302,9963.249612236023,both,-3.5639151858248823,-0.05472699620278754,0.034714420139789585,0.008032537112012506,4317.546992635727
cs,k0,unprompted,0.005,18.308998929558086,0.9155973224458245,0.08228681087493897,0.013203311525285245,13572.967582035064,22.609269539048917,0.9691150011060019,0.04395679086446762,0.004191706469282508,13426.002468967437,both,-4.3002706094908305,-0.053517678660177426,0.03833002001047135,0.009011605056002736,146.9651130676266
cs,k0,unprompted,0.01,18.058658176288787,0.9188580287456972,0.08988543599843979,0.014884760292867819,14532.10028107961,23.629703287420213,0.9756468917992202,0.03670636564493179,0.00395310646854341,13428.35436282158,both,-5.571045111131426,-0.05678886305352293,0.053179070353507996,0.010931653824324409,1103.7459182580315
cs,k1_daytime_beach,cat,0.00125,,,,,,18.394085637190337,0.9176999535926569,0.07715741693973541,0.0013055268907919526,5168.685483980179,right_only,,,,,
cs,k1_daytime_beach,cat,0.0025,,,,,,18.988020202322254,0.9277356605640437,0.06865897551178932,0.0014920367393642664,4445.005974054337,right_only,,,,,
cs,k1_daytime_beach,cat,0.005,,,,,,18.572974256422263,0.9222432763516188,0.07609011083841324,0.001471459399908781,3204.4279037952424,right_only,,,,,
cs,k1_daytime_beach,cat,0.01,14.239437217199121,0.8324887676458406,0.15086702704429628,0.00429526106454432,7440.06158027649,18.939651857196864,0.9277384018386987,0.06607702970504761,0.0015675402712076903,4422.674478435516,both,-4.700214639997743,-0.09524963419285815,0.08478999733924866,0.00272772079333663,3017.3871018409736
cs,k1_daytime_beach,daytime_beach,0.00125,,,,,,18.698196749009135,0.9223927552797513,0.07394668012857437,0.0011242839507758617,4149.029725456237,right_only,,,,,
cs,k1_daytime_beach,daytime_beach,0.0025,,,,,,18.51541070557427,0.9186374444231532,0.07704451531171799,0.001373475999571383,3305.583327674866,right_only,,,,,
cs,k1_daytime_beach,daytime_beach,0.005,,,,,,19.28692224104073,0.9332957748114545,0.06806628778576851,0.0012338476022705435,3711.0977457523345,right_only,,,,,
cs,k1_daytime_beach,daytime_beach,0.01,15.716144192698952,0.8814159846904662,0.12327361553907394,0.003170607518404722,4269.023761558533,19.927120441761627,0.9415271758341902,0.06203423961997032,0.0016000387258827686,3804.7412411689756,both,-4.210976249062675,-0.060111191143723985,0.06123937591910362,0.0015705687925219535,464.28252038955725
cs,k1_daytime_beach,sunset_beach,0.00125,,,,,,18.817612961693555,0.9245546554508953,0.07269863933324813,0.0012138143414631487,5440.145276880265,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.0025,,,,,,19.057963989329032,0.9300486286286336,0.07106717079877853,0.0013552425662055612,4183.5940652370455,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.005,,,,,,19.175604159814434,0.9337023276557858,0.06911896616220474,0.001423438172787428,4048.981248188019,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.01,14.884318401230866,0.856390776589649,0.13732970803976058,0.004322603298351169,8589.974904966355,20.894826442179443,0.9529673192034117,0.05418021753430367,0.0017500534188002348,6659.004048013687,both,-6.010508040948578,-0.0965765426137627,0.08314949050545692,0.002572549879550934,1930.9708569526683
cs,k1_daytime_beach,unprompted,0.00125,17.251105754122243,0.8917898472366126,0.09275243431329727,0.008427178021520376,14530.417346715927,19.682444977821525,0.9383364466052916,0.06547915935516357,0.0023802139330655336,5878.679101371765,both,-2.4313392236992826,-0.046546599368679,0.027273274958133698,0.006046964088454843,8651.738245344162
cs,k1_daytime_beach,unprompted,0.0025,,,,,,21.041068255964657,0.9551404165701701,0.05482790917158127,0.0034076152369379997,8629.835073184968,right_only,,,,,
cs,k1_daytime_beach,unprompted,0.005,,,,,,22.37751265476981,0.9672324002002334,0.04481903091073036,0.0037402456160634755,10940.222051000595,right_only,,,,,
cs,k1_daytime_beach,unprompted,0.01,17.65685524843692,0.9105743932124712,0.0955459013581276,0.01457431074231863,13328.227246236802,23.639654956440154,0.9757107278348771,0.036529744416475295,0.003953381208702922,13417.221080303192,both,-5.982799708003235,-0.06513633462240587,0.059016156941652305,0.010620929533615708,-88.99383406639026
cs,k2_sunset_beach,cat,0.00125,,,,,,18.43379752721799,0.9187536697294914,0.07650830298662185,0.0012910916469991208,3303.181263780594,right_only,,,,,
cs,k2_sunset_beach,cat,0.0025,,,,,,18.89007469317126,0.9268506310299067,0.0713558629155159,0.00137588691432029,5244.665964698792,right_only,,,,,
cs,k2_sunset_beach,cat,0.005,,,,,,18.784754137929752,0.9240222976167303,0.07178480103611946,0.0014139359584078193,3309.553347158432,right_only,,,,,
cs,k2_sunset_beach,cat,0.01,15.130520524514807,0.861260774805792,0.13597791343927385,0.004122323170304298,5946.564092683792,18.417162768825968,0.9183755922912147,0.07325052320957184,0.0017529205186292529,1563.3251046180726,both,-3.2866422443111603,-0.057114817485422686,0.062727390229702,0.002369402651675045,4383.238988065719
cs,k2_sunset_beach,daytime_beach,0.00125,,,,,,18.504516448364857,0.9191923917910559,0.07732844203710557,0.0011992011219263076,5145.360087823868,right_only,,,,,
cs,k2_sunset_beach,daytime_beach,0.0025,,,,,,19.037503269033618,0.9287219099667132,0.0702215626835823,0.0013136143796145916,3927.2500487327575,right_only,,,,,
cs,k2_sunset_beach,daytime_beach,0.005,,,,,,19.398961930059766,0.9350512644032613,0.06665129959583282,0.0012692077551037073,3754.0627995491027,right_only,,,,,
cs,k2_sunset_beach,daytime_beach,0.01,16.335338699174685,0.8963786311049293,0.11653579622507096,0.004864647518843412,9248.910190343857,21.19495263973912,0.9550876286696706,0.05208565667271614,0.0018090454395860434,6419.411667442322,both,-4.8596139405644365,-0.05870899756474124,0.06445013955235482,0.003055602079257369,2829.4985229015347
cs,k2_sunset_beach,sunset_beach,0.00125,,,,,,18.38942262250618,0.9180922828499849,0.07622894048690795,0.0012190068373456597,4060.689034461975,right_only,,,,,
cs,k2_sunset_beach,sunset_beach,0.0025,,,,,,18.68089295505183,0.9236834979191526,0.07431590110063553,0.0013216029154136776,4071.997984600067,right_only,,,,,
cs,k2_sunset_beach,sunset_beach,0.005,,,,,,19.5558974893978,0.9367811581882555,0.06581983864307403,0.0012504944344982505,4768.654692029953,right_only,,,,,
cs,k2_sunset_beach,sunset_beach,0.01,14.746098509118905,0.8452036569506671,0.14336838722229003,0.004310593055561185,6603.730660295487,20.60959723441487,0.9500636233416117,0.05547969415783882,0.0017750550992786883,5806.730560588837,both,-5.863498725295965,-0.10485996639094453,0.08788869306445121,0.0025355379562824964,797.00009970665
