sampling_method,sampling_condition,reconstruction_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,grain_weighted,runtime_sec_weighted,psnr_db_original,ssim_original,pixel_mae_original,grain_original,runtime_sec_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original,grain_weighted_minus_original,runtime_sec_weighted_minus_original
cs,k0,unprompted,0.00125,19.32761744032353,0.8844530590983927,0.07649832405149937,0.005521878134459257,11037.373109698296,22.783364007850416,0.9452664289949719,0.049167785048484805,0.0030060993041843174,8947.490224266052,both,-3.4557465675268872,-0.06081336989657926,0.027330539003014562,0.0025157788302749397,2089.8828854322437
cs,k0,unprompted,0.01,17.115590984722523,0.8750801551935228,0.11654540151357651,0.007120520621538162,10416.28031167984,27.88485856829841,0.9848961908552237,0.024377254769206047,0.003939125454053283,13506.96414346695,both,-10.769267583575886,-0.10981603566170095,0.09216814674437046,0.0031813951674848793,-3090.6838317871097
cs,k0,daytime_beach,0.01,16.89403692657056,0.8654102628392233,0.1175131469964981,0.004891054937615991,4526.463172101974,25.465863820733496,0.9729907926302079,0.032051341235637666,0.0025445123203098772,5842.487470340729,both,-8.571826894162935,-0.10758052979098465,0.08546180576086043,0.0023465426173061134,-1316.0242982387545
cs,k0,sunset_beach,0.01,16.87431118624959,0.8684304363892371,0.12105056345462799,0.004763652617111802,4920.92588505745,24.59018761254142,0.9666717962839861,0.03642130084335804,0.0028128146659582853,2907.2266263484953,both,-7.715876426291832,-0.09824135989474903,0.08462926261126995,0.0019508379511535166,2013.6992587089544
cs,k0,cat,0.01,14.269088926469664,0.7888592126703373,0.16820711493492127,0.003617485566064715,6570.867741632462,24.159468237174032,0.962608758119492,0.03649818152189255,0.0025201949290931227,3146.8929501056673,both,-9.890379310704368,-0.17374954544915466,0.13170893341302872,0.0010972906369715926,3423.9747915267944
cs,k1_daytime_beach,unprompted,0.00125,19.07909397577465,0.8811948226851729,0.07903299182653427,0.006279084272682667,13439.311288452149,21.802405488921398,0.9333745676902744,0.05286673158407211,0.0025051443837583063,6316.353145265579,both,-2.723311513146747,-0.052179745005101474,0.026166260242462158,0.003773939888924361,7122.95814318657
cs,k1_daytime_beach,unprompted,0.0025,20.88078966068731,0.9212869505764694,0.06300548240542411,0.007669308688491583,14126.698051929474,25.53766327719198,0.973750769679372,0.03316470310091972,0.003610528912395239,8987.794266843795,both,-4.656873616504672,-0.052463819102902653,0.029840779304504392,0.004058779776096344,5138.9037850856785
cs,k1_daytime_beach,unprompted,0.005,22.225597451845253,0.9456819651620612,0.05501560494303703,0.007967046182602643,13080.725372982026,26.918529912534012,0.981006014150303,0.02776871882379055,0.0038955823983997107,11053.27680721283,both,-4.692932460688759,-0.03532404898824182,0.027246886119246482,0.004071463784202933,2027.4485657691966
cs,k1_daytime_beach,unprompted,0.01,18.11958095312371,0.8881138297075302,0.10046865940093994,0.007265482377260923,11245.57346830368,28.02298175979728,0.9853540547823989,0.02373073734343052,0.0038786256220191715,13501.412748098373,both,-9.90340080667357,-0.09724022507486874,0.07673792205750941,0.0033868567552417517,-2255.8392797946926
cs,k1_daytime_beach,daytime_beach,0.00125,15.858653783530372,0.8075266976185569,0.12118065804243087,0.00360189201310277,5281.441138410568,19.269878605324884,0.8857160684859142,0.07327703163027763,0.0017076373798772693,3956.203594350815,both,-3.4112248217945123,-0.07818937086735733,0.04790362641215325,0.0018942546332255006,1325.237544059753
cs,k1_daytime_beach,daytime_beach,0.0025,18.463282037309995,0.9009590059818382,0.09086796268820763,0.0036328075220808387,5151.768136143684,22.714438019737447,0.9477939953136879,0.044692132622003555,0.002143780188634992,4779.81038069725,both,-4.251155982427452,-0.04683498933184971,0.04617583006620407,0.0014890273334458469,371.957755446434
cs,k1_daytime_beach,daytime_beach,0.01,15.94280972277266,0.824205637299273,0.13575366139411926,0.004900993453338743,4676.717241668701,25.23719675600659,0.9719019530449774,0.03336267434060573,0.002351968828588724,5454.064663505555,both,-9.29438703323393,-0.1476963157457044,0.10239098705351353,0.0025490246247500186,-777.3474218368538
