sampling_condition,sampling_method,sampling_rank,reconstruction_condition,samp_perc,repeat_id,observed,expected,left,complete
k0,cs,0,unprompted,0.00125,0,1,1,0,True
k0,cs,0,unprompted,0.00125,1,1,1,0,True
k0,cs,0,unprompted,0.00125,2,1,1,0,True
k0,cs,0,unprompted,0.00125,3,0,1,1,False
k0,cs,0,unprompted,0.00125,4,0,1,1,False
k0,cs,0,unprompted,0.0025,0,0,1,1,False
k0,cs,0,unprompted,0.0025,1,0,1,1,False
k0,cs,0,unprompted,0.0025,2,0,1,1,False
k0,cs,0,unprompted,0.0025,3,0,1,1,False
k0,cs,0,unprompted,0.0025,4,0,1,1,False
k0,cs,0,unprompted,0.005,0,0,1,1,False
k0,cs,0,unprompted,0.005,1,0,1,1,False
k0,cs,0,unprompted,0.005,2,0,1,1,False
k0,cs,0,unprompted,0.005,3,0,1,1,False
k0,cs,0,unprompted,0.005,4,0,1,1,False
k0,cs,0,unprompted,0.01,0,1,1,0,True
k0,cs,0,unprompted,0.01,1,1,1,0,True
k0,cs,0,unprompted,0.01,2,1,1,0,True
k0,cs,0,unprompted,0.01,3,1,1,0,True
k0,cs,0,unprompted,0.01,4,1,1,0,True
k0,cs,0,unprompted,0.025,0,1,1,0,True
k0,cs,0,unprompted,0.025,1,1,1,0,True
k0,cs,0,unprompted,0.025,2,0,1,1,False
k0,cs,0,unprompted,0.025,3,0,1,1,False
k0,cs,0,unprompted,0.025,4,0,1,1,False
k0,cs,0,daytime_beach,0.00125,0,0,1,1,False
k0,cs,0,daytime_beach,0.00125,1,0,1,1,False
k0,cs,0,daytime_beach,0.00125,2,0,1,1,False
k0,cs,0,daytime_beach,0.00125,3,0,1,1,False
k0,cs,0,daytime_beach,0.00125,4,0,1,1,False
k0,cs,0,daytime_beach,0.0025,0,0,1,1,False
k0,cs,0,daytime_beach,0.0025,1,0,1,1,False
k0,cs,0,daytime_beach,0.0025,2,0,1,1,False
k0,cs,0,daytime_beach,0.0025,3,0,1,1,False
k0,cs,0,daytime_beach,0.0025,4,0,1,1,False
k0,cs,0,daytime_beach,0.005,0,0,1,1,False
k0,cs,0,daytime_beach,0.005,1,0,1,1,False
k0,cs,0,daytime_beach,0.005,2,0,1,1,False
k0,cs,0,daytime_beach,0.005,3,0,1,1,False
k0,cs,0,daytime_beach,0.005,4,0,1,1,False
k0,cs,0,daytime_beach,0.01,0,0,1,1,False
k0,cs,0,daytime_beach,0.01,1,0,1,1,False
k0,cs,0,daytime_beach,0.01,2,0,1,1,False
k0,cs,0,daytime_beach,0.01,3,0,1,1,False
k0,cs,0,daytime_beach,0.01,4,0,1,1,False
k0,cs,0,daytime_beach,0.025,0,0,1,1,False
k0,cs,0,daytime_beach,0.025,1,0,1,1,False
k0,cs,0,daytime_beach,0.025,2,0,1,1,False
k0,cs,0,daytime_beach,0.025,3,0,1,1,False
k0,cs,0,daytime_beach,0.025,4,0,1,1,False
k0,cs,0,sunset_beach,0.00125,0,0,1,1,False
k0,cs,0,sunset_beach,0.00125,1,0,1,1,False
k0,cs,0,sunset_beach,0.00125,2,0,1,1,False
k0,cs,0,sunset_beach,0.00125,3,0,1,1,False
k0,cs,0,sunset_beach,0.00125,4,0,1,1,False
k0,cs,0,sunset_beach,0.0025,0,0,1,1,False
k0,cs,0,sunset_beach,0.0025,1,0,1,1,False
k0,cs,0,sunset_beach,0.0025,2,0,1,1,False
k0,cs,0,sunset_beach,0.0025,3,0,1,1,False
k0,cs,0,sunset_beach,0.0025,4,0,1,1,False
k0,cs,0,sunset_beach,0.005,0,0,1,1,False
k0,cs,0,sunset_beach,0.005,1,0,1,1,False
k0,cs,0,sunset_beach,0.005,2,0,1,1,False
k0,cs,0,sunset_beach,0.005,3,0,1,1,False
k0,cs,0,sunset_beach,0.005,4,0,1,1,False
k0,cs,0,sunset_beach,0.01,0,0,1,1,False
k0,cs,0,sunset_beach,0.01,1,0,1,1,False
k0,cs,0,sunset_beach,0.01,2,0,1,1,False
k0,cs,0,sunset_beach,0.01,3,0,1,1,False
k0,cs,0,sunset_beach,0.01,4,0,1,1,False
k0,cs,0,sunset_beach,0.025,0,0,1,1,False
k0,cs,0,sunset_beach,0.025,1,0,1,1,False
k0,cs,0,sunset_beach,0.025,2,0,1,1,False
k0,cs,0,sunset_beach,0.025,3,0,1,1,False
k0,cs,0,sunset_beach,0.025,4,0,1,1,False
k0,cs,0,cat,0.00125,0,0,1,1,False
k0,cs,0,cat,0.00125,1,0,1,1,False
k0,cs,0,cat,0.00125,2,0,1,1,False
k0,cs,0,cat,0.00125,3,0,1,1,False
k0,cs,0,cat,0.00125,4,0,1,1,False
k0,cs,0,cat,0.0025,0,0,1,1,False
k0,cs,0,cat,0.0025,1,0,1,1,False
k0,cs,0,cat,0.0025,2,0,1,1,False
k0,cs,0,cat,0.0025,3,0,1,1,False
k0,cs,0,cat,0.0025,4,0,1,1,False
