sampling_method,sampling_condition,reconstruction_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,grain_weighted,runtime_sec_weighted,psnr_db_original,ssim_original,pixel_mae_original,grain_original,runtime_sec_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original,grain_weighted_minus_original,runtime_sec_weighted_minus_original
cs,k0,cat,0.00125,,,,,,21.079993280018517,0.9050840821526652,0.057050234824419024,0.0019349522655829788,3162.224064683914,right_only,,,,,
cs,k0,cat,0.0025,,,,,,23.351360300307626,0.9448473790500517,0.04403802827000618,0.002368743694387376,5456.070993995667,right_only,,,,,
cs,k0,cat,0.005,,,,,,25.230197488411605,0.9642419367872987,0.0346362330019474,0.0028724213130772113,5274.531321191787,right_only,,,,,
cs,k0,cat,0.01,,,,,,26.879316944698523,0.9760770708329709,0.02861560173332691,0.003440929437056184,5051.604659986496,right_only,,,,,
cs,k0,daytime_beach,0.00125,,,,,,20.500405657923952,0.8859805508281655,0.06318873912096024,0.0018401832319796085,3968.4198755264283,right_only,,,,,
cs,k0,daytime_beach,0.0025,,,,,,23.10691316496325,0.9397368877616239,0.0446271188557148,0.002217499678954482,4461.019198274613,right_only,,,,,
cs,k0,daytime_beach,0.005,,,,,,24.779926997920608,0.960753603094212,0.03742201365530491,0.002943377196788788,4195.820285511017,right_only,,,,,
cs,k0,daytime_beach,0.01,,,,,,26.467037826816107,0.9733597536470364,0.029329441860318183,0.0039053855929523707,8863.541037750245,right_only,,,,,
cs,k0,sunset_beach,0.00125,,,,,,20.48728238182155,0.8926419012490197,0.06576375290751457,0.001894026598893106,4990.9597448348995,right_only,,,,,
cs,k0,sunset_beach,0.0025,,,,,,22.812574420192295,0.9372868780791258,0.04818674847483635,0.002462949976325035,4004.249582910538,right_only,,,,,
cs,k0,sunset_beach,0.005,,,,,,25.032640325528483,0.9631352706885938,0.03662400618195534,0.002980587398633361,4857.375931835175,right_only,,,,,
cs,k0,sunset_beach,0.01,,,,,,25.477652500464888,0.9652769581986093,0.03534565605223179,0.003423094842582941,5513.068804216385,right_only,,,,,
cs,k0,unprompted,0.00125,19.392909808865173,0.8576717580062007,0.07174721360206604,0.005753105816741784,14525.15414150556,21.641617383774598,0.9164177458816102,0.053785500675439836,0.0032555343583226203,8158.854142713547,both,-2.2487075749094245,-0.05874598787540952,0.017961712926626204,0.002497571458419164,6366.299998792013
cs,k0,unprompted,0.0025,,,,,,23.99251445565874,0.9520466190489494,0.04249558448791504,0.004257181566208601,7016.478837442398,right_only,,,,,
cs,k0,unprompted,0.005,,,,,,26.89322849032307,0.9764134886617086,0.0286584310233593,0.004634412983432412,10268.909920978545,right_only,,,,,
cs,k0,unprompted,0.01,17.980845823797544,0.8762343175602039,0.10487083196640015,0.0061435774900019165,9193.554664182662,28.14502394336253,0.9825900166541564,0.02433588095009327,0.00486546540632844,13522.429599046707,both,-10.164178119564987,-0.10635569909395248,0.08053495101630688,0.0012781120836734767,-4328.874934864045
cs,k1_daytime_beach,cat,0.00125,,,,,,20.410897568389924,0.8919852126146128,0.06242370456457138,0.0017203561263158917,2943.207976055145,right_only,,,,,
cs,k1_daytime_beach,cat,0.0025,,,,,,22.909112601042228,0.9327739082456261,0.044816243648529056,0.002491302345879376,4250.6405482292175,right_only,,,,,
cs,k1_daytime_beach,cat,0.005,,,,,,25.686447668846874,0.9663568265204759,0.033256436511874196,0.003040888672694564,6540.017038917542,right_only,,,,,
cs,k1_daytime_beach,cat,0.01,13.529986125618374,0.716317565222299,0.18447735905647278,0.005172958597540855,9339.779741287231,26.495895517951944,0.9737062056498932,0.029891661554574966,0.0032551195472478867,6166.7597905159,both,-12.96590939233357,-0.25738864042759424,0.15458569750189782,0.0019178390502929688,3173.0199507713314
cs,k1_daytime_beach,daytime_beach,0.00125,,,,,,20.674572660814114,0.900513808782701,0.060752051323652266,0.0015808558091521263,4174.41817278862,right_only,,,,,
cs,k1_daytime_beach,daytime_beach,0.0025,,,,,,22.65310416546415,0.9308148970108586,0.04672868922352791,0.0021769575774669646,4151.917345666885,right_only,,,,,
cs,k1_daytime_beach,daytime_beach,0.005,,,,,,23.73471677816633,0.9480555175467863,0.04091488420963287,0.003269014228135347,3258.082517194748,right_only,,,,,
cs,k1_daytime_beach,daytime_beach,0.01,17.367398019074404,0.8407854070531318,0.10857446342706681,0.006120025273412466,6087.541806936264,25.433179663751684,0.9671229771479084,0.03435928113758564,0.003749791253358126,6662.548782491684,both,-8.06578164467728,-0.12633757009477664,0.07421518228948117,0.00237023402005434,-575.0069755554196
cs,k1_daytime_beach,sunset_beach,0.00125,,,,,,20.741580902012593,0.9023092792326131,0.05753915160894394,0.0016261807875707745,4115.547001218796,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.0025,,,,,,21.21752717634849,0.9050301748618896,0.05811962559819221,0.002191535639576614,2981.4399486541747,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.005,,,,,,23.195699690916168,0.9422827306170355,0.04606693759560585,0.0029521013144403695,3779.8009531974794,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.01,18.127491096681513,0.8473437895115813,0.10198694318532944,0.0053039643913507465,3889.7493109226225,25.921173982780367,0.9703120824743978,0.03182473480701446,0.0031693396158516407,4741.513646697998,both,-7.793682886098853,-0.12296829296281653,0.07016220837831498,0.002134624775499106,-851.7643357753759
cs,k1_daytime_beach,unprompted,0.00125,19.893858542606452,0.8767007141567781,0.06982455030083656,0.0064962172182276845,13261.007224082947,21.964052528468606,0.9237291799054009,0.05139545723795891,0.003315281681716442,8619.66572856903,both,-2.0701939858621543,-0.04702846574862285,0.018429093062877655,0.0031809355365112423,4641.341495513916
cs,k1_daytime_beach,unprompted,0.0025,,,,,,24.571559673884213,0.9562576807218501,0.03885549604892731,0.004339692881330848,6856.681454229355,right_only,,,,,
